date,cefalea OR dolor de cabeza-count,hipertensión -count,enfermedades de base-count,enfermedades cardiovascular...-count,insuficiencia renal-count,cáncer -count,VIH-count,tuberculosis -count,EPOC OR enfermedad pulmonar...-count,asma-count,insuficiencia cardíaca -count,arritmias cardíacas-count,enfermedad cerebrovascular-count,accidente cerebrovascular O...-count,síndrome de down-count,fibrosis-count,artritis-count,vasculitis-count,cefalea OR dolor de cabeza-total_count,hipertensión -total_count,enfermedades de base-total_count,enfermedades cardiovascular...-total_count,insuficiencia renal-total_count,cáncer -total_count,VIH-total_count,tuberculosis -total_count,EPOC OR enfermedad pulmonar...-total_count,asma-total_count,insuficiencia cardíaca -total_count,arritmias cardíacas-total_count,enfermedad cerebrovascular-total_count,accidente cerebrovascular O...-total_count,síndrome de down-total_count,fibrosis-total_count,artritis-total_count,vasculitis-total_count,cefalea OR dolor de cabeza-ratio,hipertensión -ratio,enfermedades de base-ratio,enfermedades cardiovascular...-ratio,insuficiencia renal-ratio,cáncer -ratio,VIH-ratio,tuberculosis -ratio,EPOC OR enfermedad pulmonar...-ratio,asma-ratio,insuficiencia cardíaca -ratio,arritmias cardíacas-ratio,enfermedad cerebrovascular-ratio,accidente cerebrovascular O...-ratio,síndrome de down-ratio,fibrosis-ratio,artritis-ratio,vasculitis-ratio
"2021-01-01","1650","3","1650","37","5","9","0","0","101","1","2","1","97","53","1651","0","0","0","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","2095","0.7875894988066826","0.001431980906921241","0.7875894988066826","0.01766109785202864","0.002386634844868735","0.0042959427207637235","0","0","0.04821002386634845","0.00047732696897374703","0.0009546539379474941","0.00047732696897374703","0.04630071599045346","0.025298329355608593","0.7880668257756563","0","0","0"
"2021-01-02","2051","5","2051","44","9","23","4","2","134","0","9","1","129","62","2056","0","1","0","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","2452","0.8364600326264274","0.0020391517128874386","0.8364600326264274","0.01794453507340946","0.00367047308319739","0.009380097879282219","0.0016313213703099511","0.0008156606851549756","0.05464926590538336","0","0.00367047308319739","0.0004078303425774878","0.05261011419249592","0.02528548123980424","0.8384991843393148","0","0.0004078303425774878","0"
"2021-01-03","2196","6","2196","73","9","31","1","3","152","1","7","0","141","52","2200","0","0","0","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","2599","0.8449403616775683","0.002308580223162755","0.8449403616775683","0.028087726048480186","0.0034628703347441324","0.0119276644863409","0.00038476337052712584","0.0011542901115813775","0.05848403232012313","0.00038476337052712584","0.0026933435936898806","0","0.05425163524432474","0.020007695267410544","0.8464794151596768","0","0","0"
"2021-01-04","3245","4","3249","87","5","10","6","4","150","3","3","0","140","64","3249","0","0","0","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","3896","0.8329055441478439","0.001026694045174538","0.8339322381930184","0.022330595482546203","0.0012833675564681724","0.002566735112936345","0.001540041067761807","0.001026694045174538","0.038501026694045176","0.0007700205338809035","0.0007700205338809035","0","0.03593429158110883","0.01642710472279261","0.8339322381930184","0","0","0"
"2021-01-05","3480","8","3483","83","6","26","4","5","204","3","9","1","196","53","3491","0","1","0","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","4122","0.8442503639010189","0.0019408054342552159","0.8449781659388647","0.020135856380397867","0.001455604075691412","0.006307617661329452","0.0009704027171276079","0.0012130033964095099","0.049490538573508006","0.000727802037845706","0.002183406113537118","0.00024260067928190198","0.04754973313925279","0.012857836001940806","0.8469189713731199","0","0.00024260067928190198","0"
"2021-01-06","3610","5","3611","64","7","13","11","2","193","2","5","1","180","54","3650","0","1","0","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","4439","0.8132462266276188","0.0011263798152737104","0.8134715025906736","0.014417661635503492","0.0015769317413831944","0.002928587519711647","0.0024780355936021626","0.0004505519261094841","0.043478260869565216","0.0004505519261094841","0.0011263798152737104","0.00022527596305474206","0.04054967334985357","0.012164902004956072","0.8222572651498086","0","0.00022527596305474206","0"
"2021-01-07","3546","12","3560","93","12","37","4","0","224","1","11","5","214","48","3586","1","1","0","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","4390","0.8077448747152619","0.002733485193621868","0.8109339407744874","0.021184510250569475","0.002733485193621868","0.008428246013667425","0.0009111617312072893","0","0.0510250569476082","0.00022779043280182233","0.0025056947608200456","0.0011389521640091116","0.04874715261958998","0.010933940774487472","0.8168564920273349","0.00022779043280182233","0.00022779043280182233","0"
"2021-01-08","3680","5","3689","90","11","29","1","0","248","0","8","1","233","54","3722","2","2","0","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","4431","0.8305122997066126","0.0011284134506883321","0.8325434439178515","0.020311442112389978","0.002482509591514331","0.0065447980139923265","0.00022568269013766644","0","0.05596930715414128","0","0.0018054615211013315","0.00022568269013766644","0.05258406680207628","0.012186865267433988","0.8399909726923945","0.0004513653802753329","0.0004513653802753329","0"
"2021-01-09","2459","5","2462","55","2","18","3","2","178","0","3","0","155","74","2482","0","0","0","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","2956","0.8318673883626523","0.0016914749661705007","0.8328822733423545","0.018606224627875506","0.0006765899864682003","0.006089309878213802","0.0010148849797023004","0.0006765899864682003","0.060216508795669824","0","0.0010148849797023004","0","0.05243572395128552","0.02503382949932341","0.8396481732070366","0","0","0"
"2021-01-10","2253","4","2255","49","8","26","6","3","150","2","6","0","138","57","2272","1","0","0","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","2833","0.7952700317684434","0.0014119308153900459","0.7959759971761383","0.01729615248852806","0.0028238616307800918","0.009177550300035298","0.002117896223085069","0.0010589481115425344","0.05294740557712672","0.0007059654076950229","0.002117896223085069","0","0.04871161313095658","0.020120014119308152","0.801976703141546","0.00035298270384751147","0","0"
