date,nueva era-count,invento del gobierno-count,contienen microchips -count,puede magnetizar-count,alteran el adn-count,enferma de covid-count,causan infertilidad-count,mi fe me protege-count,nueva era-total_count,invento del gobierno-total_count,contienen microchips -total_count,puede magnetizar-total_count,alteran el adn-total_count,enferma de covid-total_count,causan infertilidad-total_count,mi fe me protege-total_count,nueva era-ratio,invento del gobierno-ratio,contienen microchips -ratio,puede magnetizar-ratio,alteran el adn-ratio,enferma de covid-ratio,causan infertilidad-ratio,mi fe me protege-ratio
"2021-01-20","1171","3700","13","723","3993","4266","13","644","4937","4937","4937","4937","4937","4937","4937","4937","0.23718857605833502","0.7494429815677537","0.0026331780433461616","0.1464452096414827","0.8087907636216326","0.8640875025319019","0.0026331780433461616","0.13044358922422525"
"2021-01-21","1154","3805","13","744","4045","4381","11","668","5007","5007","5007","5007","5007","5007","5007","5007","0.2304773317355702","0.7599360894747353","0.0025963650888755742","0.14859197124026363","0.8078689834232075","0.8749750349510685","0.00219692430597164","0.1334132214899141"
"2021-01-22","1015","3387","17","727","3674","3955","7","649","4493","4493","4493","4493","4493","4493","4493","4493","0.2259069663921656","0.7538393055864678","0.0037836634765190296","0.16180725573113733","0.8177164478077009","0.8802581793901625","0.0015579790785666592","0.14444691742710883"
"2021-01-23","672","2301","3","455","2558","2759","2","435","3150","3150","3150","3150","3150","3150","3150","3150","0.21333333333333335","0.7304761904761905","0.0009523809523809524","0.14444444444444443","0.812063492063492","0.8758730158730159","0.0006349206349206349","0.1380952380952381"
"2021-01-24","679","2279","13","454","2475","2684","6","449","3156","3156","3156","3156","3156","3156","3156","3156","0.21514575411913814","0.7221166032953105","0.004119138149556401","0.1438529784537389","0.7842205323193916","0.8504435994930292","0.0019011406844106464","0.14226869455006338"
"2021-01-25","1050","3354","19","708","3580","3824","5","581","4378","4378","4378","4378","4378","4378","4378","4378","0.23983554134307902","0.7661032434901781","0.004339881224303335","0.161717679305619","0.8177249885792599","0.8734582000913659","0.0011420740063956144","0.1327089995431704"
"2021-01-26","1073","3508","23","712","3779","4034","5","739","4531","4531","4531","4531","4531","4531","4531","4531","0.23681306554844406","0.7742220260428162","0.005076142131979695","0.15713970425954535","0.8340322224674465","0.8903111895828736","0.0011035091591260207","0.16309865371882587"
"2021-01-27","1108","3514","24","779","3721","3960","2","674","4470","4470","4470","4470","4470","4470","4470","4470","0.24787472035794184","0.7861297539149888","0.005369127516778523","0.1742729306487696","0.8324384787472036","0.8859060402684564","0.00044742729306487697","0.15078299776286352"
"2021-01-28","1073","3503","15","733","3738","3998","7","694","4543","4543","4543","4543","4543","4543","4543","4543","0.23618754127228703","0.7710763812458727","0.003301782962799912","0.16134712744882238","0.8228043143297381","0.8800352190182699","0.0015408320493066256","0.1527624917455426"
"2021-01-29","1002","3305","13","719","3521","3822","10","639","4249","4249","4249","4249","4249","4249","4249","4249","0.23582019298658508","0.7778300776653331","0.003059543421981643","0.16921628618498472","0.828665568369028","0.899505766062603","0.002353494939985879","0.15038832666509766"
"2021-01-30","472","1634","2","317","1743","1927","1","271","2213","2213","2213","2213","2213","2213","2213","2213","0.2132851333032083","0.7383642114776322","0.0009037505648441031","0.14324446452779033","0.7876186172616357","0.8707636692272933","0.00045187528242205153","0.12245820153637596"
"2021-01-31","95","271","0","93","303","310","4","72","318","318","318","318","318","318","318","318","0.29874213836477986","0.8522012578616353","0","0.29245283018867924","0.9528301886792453","0.9748427672955975","0.012578616352201259","0.22641509433962265"
"2021-02-01","616","2069","5","425","2222","2325","3","382","2451","2451","2451","2451","2451","2451","2451","2451","0.25132598939208484","0.8441452468380253","0.002039983680130559","0.1733986128110975","0.9065687474500204","0.9485924112607099","0.0012239902080783353","0.1558547531619747"
"2021-02-02","1099","3606","15","788","3864","4156","10","706","4654","4654","4654","4654","4654","4654","4654","4654","0.236140954018049","0.7748173614095402","0.0032230339492909325","0.16931671680275032","0.8302535453373442","0.8929952728835411","0.0021486892995272885","0.15169746454662655"
"2021-02-03","1058","3789","10","733","3983","4284","10","616","4845","4845","4845","4845","4845","4845","4845","4845","0.21836945304437563","0.7820433436532508","0.0020639834881320948","0.15128998968008256","0.8220846233230135","0.8842105263157894","0.0020639834881320948","0.12714138286893706"
"2021-02-04","1032","3451","6","807","3702","3909","12","653","4484","4484","4484","4484","4484","4484","4484","4484","0.23015165031222123","0.7696253345227475","0.0013380909901873326","0.17997323818019625","0.8256021409455843","0.8717662801070473","0.0026761819803746653","0.14562890276538804"
"2021-02-05","974","3296","12","751","3619","3797","8","698","4320","4320","4320","4320","4320","4320","4320","4320","0.22546296296296298","0.762962962962963","0.002777777777777778","0.1738425925925926","0.8377314814814815","0.8789351851851852","0.001851851851851852","0.16157407407407406"
"2021-02-06","658","2224","5","529","2477","2631","15","427","2989","2989","2989","2989","2989","2989","2989","2989","0.22014051522248243","0.7440615590498495","0.0016728002676480427","0.17698226831716293","0.8287052525928404","0.8802275008364001","0.005018400802944129","0.14285714285714285"
"2021-02-07","622","2220","5","466","2415","2546","8","433","2912","2912","2912","2912","2912","2912","2912","2912","0.2135989010989011","0.7623626373626373","0.001717032967032967","0.16002747252747251","0.8293269230769231","0.8743131868131868","0.0027472527472527475","0.14869505494505494"
"2021-02-08","948","3374","4","728","3596","3896","17","633","4410","4410","4410","4410","4410","4410","4410","4410","0.21496598639455783","0.765079365079365","0.0009070294784580499","0.16507936507936508","0.8154195011337868","0.8834467120181406","0.003854875283446712","0.1435374149659864"
"2021-02-09","1044","3617","13","832","3830","4167","14","754","4714","4714","4714","4714","4714","4714","4714","4714","0.22146796775562155","0.7672889266016122","0.0027577428935086977","0.17649554518455665","0.8124734832414086","0.8839626644039033","0.002969876962240136","0.15994908782350445"
"2021-02-10","1084","3758","15","850","4032","4318","10","687","4905","4905","4905","4905","4905","4905","4905","4905","0.22099898063200815","0.7661569826707442","0.0030581039755351682","0.17329255861365953","0.8220183486238533","0.8803261977573904","0.0020387359836901123","0.1400611620795107"
"2021-02-11","994","3797","8","828","3983","4339","13","708","4899","4899","4899","4899","4899","4899","4899","4899","0.2028985507246377","0.7750561339048786","0.0016329863237395388","0.16901408450704225","0.8130230659318228","0.8856909573382323","0.0026536027760767503","0.14451928965094918"
"2021-02-12","907","3290","18","718","3597","3876","18","649","4357","4357","4357","4357","4357","4357","4357","4357","0.20817075969703924","0.7551067248106496","0.004131282992885013","0.1647922882717466","0.8255680514115217","0.8896029378012393","0.004131282992885013","0.1489557034656874"
"2021-02-13","588","2154","8","472","2351","2591","5","441","2963","2963","2963","2963","2963","2963","2963","2963","0.19844751940600744","0.7269659129260885","0.0026999662504218697","0.1592980087748903","0.7934525818427269","0.874451569355383","0.0016874789065136687","0.14883563955450557"
"2021-02-14","665","2307","9","449","2496","2689","5","509","3106","3106","3106","3106","3106","3106","3106","3106","0.21410173857050868","0.7427559562137798","0.0028976175144880875","0.1445589182227946","0.8036059240180297","0.8657437218287186","0.0016097875080489374","0.16387636831938185"
"2021-02-15","906","3248","13","731","3534","3841","10","676","4359","4359","4359","4359","4359","4359","4359","4359","0.20784583620096353","0.7451250286763019","0.0029823353980270705","0.1676990135352145","0.8107364074328974","0.8811654049093829","0.0022941041523285156","0.15508144069740767"
"2021-02-16","907","3409","10","703","3656","3954","6","597","4477","4477","4477","4477","4477","4477","4477","4477","0.20259102077283894","0.7614473978110342","0.002233638597274961","0.15702479338842976","0.8166182711637258","0.8831807013625196","0.0013401831583649765","0.13334822425731516"
"2021-02-17","1082","3611","9","753","3983","4159","5","680","4739","4739","4739","4739","4739","4739","4739","4739","0.2283182105929521","0.7619751002321165","0.0018991348385735388","0.15889428149398607","0.8404726735598228","0.8776113104030386","0.0010550749103186326","0.14349018780333403"
"2021-02-18","1009","3724","15","812","3896","4264","10","744","4778","4778","4778","4778","4778","4778","4778","4778","0.2111762243616576","0.77940560904144","0.0031393888656341567","0.169945583926329","0.8154039347007116","0.8924236082042696","0.002092925910422771","0.15571368773545416"
"2021-02-19","924","3363","16","691","3588","3876","8","633","4403","4403","4403","4403","4403","4403","4403","4403","0.20985691573926868","0.7637974108562344","0.0036338859868271633","0.1569384510560981","0.8148989325459913","0.8803088803088803","0.0018169429934135816","0.14376561435384966"
"2021-02-20","627","2160","5","436","2305","2543","8","460","2972","2972","2972","2972","2972","2972","2972","2972","0.21096904441453568","0.7267833109017496","0.0016823687752355316","0.14670255720053835","0.7755720053835801","0.8556527590847914","0.0026917900403768506","0.15477792732166892"
"2021-02-21","613","2101","6","441","2283","2458","5","472","2900","2900","2900","2900","2900","2900","2900","2900","0.2113793103448276","0.7244827586206897","0.0020689655172413794","0.1520689655172414","0.7872413793103449","0.8475862068965517","0.0017241379310344827","0.16275862068965516"
"2021-02-22","942","3538","9","707","3757","4019","5","615","4601","4601","4601","4601","4601","4601","4601","4601","0.2047381004129537","0.7689632688545969","0.0019560965007607042","0.1536622473375353","0.8165616170397739","0.8735057596174745","0.0010867202782003911","0.13366659421864813"
"2021-02-23","764","2899","15","682","3086","3276","9","580","3669","3669","3669","3669","3669","3669","3669","3669","0.20823112564731536","0.7901335513763968","0.004088307440719542","0.1858817116380485","0.8411011174707005","0.892886345053148","0.0024529844644317253","0.15808122104115563"
"2021-02-24","1002","3851","16","798","4047","4311","11","666","4848","4848","4848","4848","4848","4848","4848","4848","0.20668316831683167","0.7943481848184818","0.0033003300330033004","0.1646039603960396","0.8347772277227723","0.8892326732673267","0.002268976897689769","0.1373762376237624"
"2021-02-25","1113","3790","15","777","4011","4337","9","653","4870","4870","4870","4870","4870","4870","4870","4870","0.22854209445585216","0.7782340862422998","0.003080082135523614","0.1595482546201232","0.8236139630390144","0.8905544147843942","0.0018480492813141684","0.13408624229979466"
"2021-02-26","1036","3502","7","727","3765","4068","8","702","4562","4562","4562","4562","4562","4562","4562","4562","0.22709338009644892","0.7676457693993862","0.0015344147303814116","0.1593599298553266","0.8252959228408593","0.8917141604559404","0.0017536168347216134","0.15387987724682156"
"2021-02-27","638","2345","4","522","2541","2764","10","498","3208","3208","3208","3208","3208","3208","3208","3208","0.19887780548628428","0.7309850374064838","0.0012468827930174563","0.16271820448877805","0.7920822942643392","0.8615960099750624","0.003117206982543641","0.1552369077306733"
"2021-02-28","668","2375","3","448","2551","2787","13","574","3272","3272","3272","3272","3272","3272","3272","3272","0.2041564792176039","0.7258557457212714","0.0009168704156479218","0.13691931540342298","0.7796454767726161","0.8517726161369193","0.003973105134474328","0.1754278728606357"
"2021-03-01","971","3568","10","755","3798","4104","12","675","4685","4685","4685","4685","4685","4685","4685","4685","0.2072572038420491","0.7615795090715048","0.0021344717182497333","0.16115261472785486","0.8106723585912486","0.8759871931696905","0.0025613660618996796","0.144076840981857"
"2021-03-02","1003","3674","16","818","3941","4300","15","727","4830","4830","4830","4830","4830","4830","4830","4830","0.20766045548654244","0.7606625258799172","0.0033126293995859213","0.16935817805383022","0.8159420289855073","0.8902691511387164","0.003105590062111801","0.1505175983436853"
