date,vacunas-count,efectos secundarios vacuna ...-count,trombos-count,trombosis-count,pfizer-count,moderna-count,astrazeneca-count,jhonson & jhonson janssen-count,sinovac-count,sinopharm-count,zydus-count,gamaleya-count,vacunas-total_count,efectos secundarios vacuna ...-total_count,trombos-total_count,trombosis-total_count,pfizer-total_count,moderna-total_count,astrazeneca-total_count,jhonson & jhonson janssen-total_count,sinovac-total_count,sinopharm-total_count,zydus-total_count,gamaleya-total_count,vacunas-ratio,efectos secundarios vacuna ...-ratio,trombos-ratio,trombosis-ratio,pfizer-ratio,moderna-ratio,astrazeneca-ratio,jhonson & jhonson janssen-ratio,sinovac-ratio,sinopharm-ratio,zydus-ratio,gamaleya-ratio
"2021-01-13","383","1536","0","0","175","51","115","32","71","7","0","5","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","0.07692307692307693","0.3084956818638281","0","0","0.03514762000401687","0.010243020686884917","0.023097007431211087","0.006426993372163085","0.014259891544486845","0.0014059048001606748","0","0.001004217714400482"
"2021-01-14","315","1558","0","0","129","47","83","27","49","11","0","5","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","0.06408952187182096","0.3169888097660224","0","0","0.02624618514750763","0.009562563580874872","0.01688708036622584","0.005493387589013225","0.009969481180061038","0.0022380467955239063","0","0.001017293997965412"
"2021-01-15","311","1385","0","0","113","52","52","14","23","11","0","5","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","0.06842684268426842","0.3047304730473047","0","0","0.024862486248624863","0.01144114411441144","0.01144114411441144","0.0030803080308030805","0.00506050605060506","0.0024202420242024204","0","0.0011001100110011"
"2021-01-16","150","830","0","1","61","26","38","7","6","8","0","4","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","0.048796356538711776","0.27000650618087185","0","0.00032530904359141186","0.019843851659076123","0.008458035133376708","0.01236174365647365","0.002277163305139883","0.001951854261548471","0.002602472348731295","0","0.0013012361743656475"
"2021-01-17","160","786","0","0","60","36","75","2","46","3","0","0","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","0.054182187605824585","0.2661699966136133","0","0","0.02031832035218422","0.012190992211310531","0.025397900440230273","0.0006772773450728074","0.015577378936674569","0.001015916017609211","0","0"
"2021-01-18","275","1407","0","0","117","48","67","6","41","13","0","5","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","0.06237242004989794","0.319119981855296","0","0","0.026536629621229303","0.010886822408709458","0.015196189612156952","0.0013608528010886822","0.009299160807439328","0.0029485144023588114","0","0.0011340440009072353"
"2021-01-19","294","1417","0","0","116","41","70","11","27","13","0","18","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","0.061211742660836975","0.2950239433687279","0","0","0.024151571934207788","0.008536331459504476","0.014574224443056423","0.002290235269623152","0.005621486570893191","0.0027066416822819073","0","0.0037476577139287947"
"2021-01-20","282","1382","0","2","146","44","60","9","28","11","0","10","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","0.05711970832489366","0.27992708122341503","0","0.00040510431436094796","0.0295726149483492","0.008912294915940856","0.012153129430828438","0.0018229694146242657","0.005671460401053271","0.002228073728985214","0","0.0020255215718047396"
"2021-01-21","404","1550","0","8","145","51","120","14","30","10","0","19","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","0.08068703814659477","0.30956660675054926","0","0.001597763131615738","0.02895945676053525","0.01018573996405033","0.02396644697423607","0.0027960854803275414","0.005991611743559017","0.0019972039145196726","0","0.0037946874375873775"
"2021-01-22","324","1485","0","1","155","64","96","1","34","8","0","8","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","0.0721121744936568","0.330514133095927","0","0.00022256843979523704","0.03449810816826174","0.01424438014689517","0.021366570220342756","0.00022256843979523704","0.007567326953038059","0.0017805475183618963","0","0.0017805475183618963"
